Ticker,Simple MA,MA,MACD,RSI,7-Day Profit
F,1.0,0.0,1.0,1.0,False
GE,1.0,0.0,1.0,1.0,False
DIS,1.0,0.0,1.0,1.0,False
AAL,1.0,0.0,1.0,1.0,False
DAL,1.0,0.0,1.0,1.0,False
ACB,-1.0,0.0,1.0,1.0,False
GPRO,1.0,0.0,1.0,1.0,False
CCL,1.0,0.0,1.0,1.0,False
MSFT,1.0,1.0,1.0,1.0,True
AAPL,1.0,0.0,1.0,1.0,True
FIT,-1.0,1.0,-1.0,1.0,True
NCLH,1.0,0.0,1.0,1.0,False
BAC,1.0,0.0,1.0,1.0,False
PLUG,1.0,1.0,1.0,1.0,True
SNAP,1.0,0.0,1.0,1.0,True
BA,1.0,0.0,1.0,1.0,False
UAL,1.0,0.0,1.0,1.0,False
INO,1.0,1.0,1.0,1.0,False
CGC,1.0,0.0,1.0,1.0,False
UBER,1.0,0.0,1.0,1.0,True
TSLA,1.0,1.0,1.0,1.0,False
RCL,1.0,0.0,1.0,1.0,False
CRON,1.0,0.0,1.0,1.0,False
AMD,-1.0,1.0,-1.0,1.0,False
TWTR,1.0,0.0,1.0,1.0,True
FB,1.0,0.0,1.0,1.0,True
GRPN,1.0,0.0,1.0,1.0,False
MRNA,1.0,1.0,-1.0,1.0,True
BABA,1.0,0.0,-1.0,1.0,False
SBUX,1.0,0.0,1.0,1.0,False
MRO,1.0,0.0,1.0,1.0,False
ZNGA,1.0,1.0,-1.0,1.0,True
T,1.0,0.0,1.0,1.0,False
AMZN,1.0,1.0,1.0,1.0,False
KO,-1.0,0.0,1.0,1.0,False
APHA,1.0,0.0,1.0,1.0,True
USO,-1.0,0.0,-1.0,0.0,True
SAVE,1.0,0.0,1.0,1.0,False
LUV,-1.0,0.0,1.0,1.0,False
XOM,1.0,0.0,1.0,1.0,False
JBLU,1.0,0.0,1.0,1.0,False
MFA,1.0,0.0,1.0,1.0,False
MGM,1.0,0.0,1.0,1.0,False
GM,1.0,0.0,1.0,1.0,True
NIO,1.0,0.0,1.0,1.0,True
UCO,-1.0,0.0,1.0,0.0,True
AMC,1.0,0.0,1.0,1.0,False
NFLX,1.0,1.0,-1.0,1.0,True
PENN,1.0,0.0,1.0,1.0,True
SPCE,1.0,0.0,1.0,1.0,True
NRZ,1.0,0.0,1.0,1.0,True
TLRY,1.0,0.0,1.0,1.0,False
NVDA,1.0,1.0,1.0,1.0,True
VOO,1.0,0.0,1.0,1.0,False
VSLR,1.0,0.0,1.0,1.0,True
NOK,1.0,0.0,1.0,1.0,False
GILD,1.0,1.0,1.0,1.0,False
GUSH,1.0,0.0,1.0,1.0,False
CPRX,1.0,1.0,1.0,1.0,True
LYFT,1.0,0.0,1.0,1.0,False
HAL,1.0,0.0,1.0,1.0,False
SPY,1.0,0.0,1.0,1.0,False
V,1.0,0.0,1.0,1.0,True
NKE,1.0,0.0,1.0,1.0,True
SRNE,-1.0,0.0,-1.0,1.0,True
SIRI,1.0,0.0,1.0,1.0,False
SQ,1.0,0.0,1.0,1.0,True
WORK,1.0,1.0,-1.0,1.0,True
PFE,1.0,0.0,1.0,1.0,False
KOS,1.0,0.0,1.0,1.0,False
OXY,1.0,0.0,1.0,1.0,False
BYND,1.0,0.0,1.0,1.0,True
JPM,1.0,0.0,1.0,1.0,False
IVR,-1.0,0.0,1.0,1.0,False
ET,1.0,0.0,1.0,1.0,False
WFC,1.0,0.0,1.0,1.0,False
CRBP,1.0,1.0,1.0,1.0,True
PLAY,1.0,0.0,1.0,1.0,False
ERI,1.0,0.0,1.0,1.0,False
NYMT,1.0,0.0,1.0,1.0,False
SPHD,1.0,0.0,1.0,1.0,False
VKTX,1.0,0.0,1.0,1.0,True
BP,-1.0,0.0,1.0,1.0,True
TXMD,1.0,0.0,1.0,1.0,False
NTDOY,-1.0,1.0,-1.0,1.0,True
WMT,-1.0,1.0,-1.0,1.0,True
GOOGL,1.0,0.0,1.0,1.0,True
ZM,-1.0,1.0,-1.0,1.0,True
FCEL,1.0,1.0,1.0,1.0,False
PTON,1.0,1.0,-1.0,1.0,True
DKNG,1.0,1.0,1.0,1.0,True
ATVI,-1.0,1.0,-1.0,1.0,True
SNE,1.0,0.0,1.0,1.0,True
CSCO,1.0,0.0,1.0,1.0,False
INTC,1.0,1.0,1.0,1.0,False
AUY,1.0,1.0,1.0,1.0,True
VTI,1.0,0.0,1.0,1.0,False
GLUU,1.0,1.0,1.0,1.0,True
